,name,englishname,nickname,nation,race,zodiac_tyep,blood_type,height,weight,birthsite,birthday,occupation,school,company,main_works,main_achieve,judge,judge_cut
533,杨丹,YangDan,,中国,汉,天蝎座,o型,163cm,49kg,湖南,1973年11月01日,主持人,北京广播学院,,天气预报,全国三八红旗手,杨丹 杨丹凭着会“说天气”的好嗓音，同样走进了千家万户，被观众熟知，（新浪网评评）主持人杨丹以其轻松流畅的播报和自信稳健的台风深受全国公众的喜爱，为全国气象影视工作者树立了榜样。（中国政府网评）,杨丹 杨丹 凭着 说 天气 嗓音 走进 千家万户 观众 熟知 新浪网 评评 主持人 杨丹以 轻松 流畅 播报 自信 稳健 台风 深受 全国 公众 喜爱 全国 气象 影视 工作者 树立 榜样 中国政府 网评
536,李咏,,咏哥,中国,汉族,金牛座,A型,172cm,,新疆乌鲁木齐市沙依巴克区,1968年05月03日,主持人 教师,中国传媒大学,,"幸运52
非常6+1
咏乐汇
咏远有李","“优秀播音员主持人”
第10届“华鼎奖”中国最佳男主持",出席活动照 面对各种各样的榜、评比，李咏都是以一颗平常心对待。李咏看重的就是观众对他的认可。李咏坚决不做“傀儡”式主持人，从语言风格到外在打扮，李咏都坚持自己的“个性”，观众喜欢他的幽默诙谐的主持风格，就是对他的认可。（凤凰网评） 李咏是央视绝对能够引起“非议”的主持人。2002年春晚，为在主持风格中引入嘻哈风，李咏被推上了央视主持人的位置，并与周涛、朱军、董卿等形成较为稳定的组合。每年能主持央视春晚的主持人，是央视的“门面”和“台柱子”。（网易娱乐评）,出席 活动 面对 各种各样 榜 评比 李咏 一颗 平常心 李咏 看重 观众 认可 李咏 做 傀儡 式 主持人 语言 风格 外 打扮 李咏 个性 观众 喜欢 幽默诙谐 主持 风格 认可 凤凰网 评 李咏是 央视 非议 主持人 2002 年 春晚 主持 风格 中 引入 嘻哈风 李咏 推上 央视 主持人 位置 周涛 朱军 董卿 稳定 组合 主持 央视春晚 主持人 央视 门面 台柱子 网易娱乐 评
537,韩宇辰,Alan,,中国,汉族,金牛座,,,62kg,重庆市,,演员,中央戏剧学院,,"游击英雄
双枪
义海
深海利剑
哥不是传说",2012年九分钟电影锦标赛最佳男演员奖,韩宇辰具有俊朗帅气的外表和出色的演技。在电视剧《游击英雄》中，韩宇辰凭借扎实的演技令人印象深刻。韩宇辰是青年演员中的鬼才，表演中带着灵性。在电视剧《深海利剑》中，韩宇辰不仅把一个家境殷实却仍愿为海军事业效力的“痞帅军官”刻画得入木三分，而且还将鹿宁每个阶段的心理状态都刻画得十分到位。生活中的他也跟鹿宁一样，带一点痞气，却十分热心。而在一组时尚写真中，则展现了其痞帅的气质，虽然少了诙谐，但眉宇之间却多了些忧郁与不羁（腾讯、赵宝刚、网易、新浪评）。,韩宇辰 俊朗 帅气 外表 出色 演技 电视剧 游击 英雄 中 韩宇辰 扎实 演技 令人 印象 深刻 韩宇辰 青年 演员 中 鬼才 表演 中带 灵性 电视剧 深海 利剑 中 韩宇辰 家境 殷实 愿 海军 事业 效力 痞帅 军官 刻画 入木三分 鹿宁 阶段 心理 状态 刻画 到位 生活 中 鹿宁 一点 痞气 热心 一组 时尚 写真 中 展现 痞帅 气质 少 诙谐 眉宇之间 忧郁 不羁 腾讯 赵宝刚 网易 新浪 评
539,巴音（巴音额日乐）,,,中国,蒙古族,,,,,内蒙古鄂尔多斯乌审旗,1963年08月12日,电影导演演员,上海戏剧学院 北京电影学院,,"诺日吉玛
嘎达梅林
悲情布鲁克","第16届中国电影金鸡奖集体表演奖
第28届中国电影金鸡奖最佳男配角提名奖
第30届中国电影金鸡奖最佳导演提名奖",巴音崇拜英雄，渴望塑造各种英雄人物形象，喜欢向新的角色，新人物挑战，巴音认为自己是为电影而生，为了塑造角色，他不断地调整自己重塑自己，经过一翻拼搏和努力，他在影视界可谓硕果累累。 带着草原牧人的朴实，巴音从内蒙古来到了上海，开始自己的影视生涯。他在影片中大多扮演蒙古族强悍的形象。更为草原文化发扬传承着......,巴音 崇拜 英雄 渴望 塑造 英雄 人物形象 喜欢 新 角色 新 人物 挑战 巴音 电影 而生 塑造 角色 调整 重塑 一翻 拼搏 努力 影视界 可谓 硕果累累 草原 牧人 朴实 巴音 内蒙古 来到 上海 影视 生涯 影片 中 扮演 蒙古族 强悍 形象 草原 文化 发扬 传承
540,瑶淼,,,中国,锡伯族,摩羯座,O型,163cm,,北京,1978年12月27日,演员 主持人,北京广播学院(现中国传媒大学）,,"魔力
盐丁儿",,虽然是童星出身，从小就参演电影电视；长大后做主持，也左右逢源顺风顺水，但是瑶淼身上，却没有一丝一毫的浮躁。瑶淼不仅热爱自己的演艺事业，同时积极的参加社会公益活动来回报社会。,童星 出身 参演 电影 电视 长大 做 主持 左右逢源 顺风 顺水 瑶淼 身上 一丝一毫 浮躁 瑶淼 热爱 演艺事业 参加 社会 公益活动 回报 社会
541,于文霞,YuWenxia,,中国,汉族,狮子座,,177cm,,黑龙江省尚志市亚布力镇,1989年08月06日,模特,哈尔滨师范大学音乐学院,,第62届世界小姐选美大赛全球总冠军,第62届世界小姐大赛中国区冠军,个人生活 不同于首位华人世界小姐冠军张梓琳的甜美、时尚、大方，作为第2位华人世界小姐冠军的于文霞，给人第一印象是秀美、纯朴、端庄（歌唱家曲冬梅评）。 大学入学时她便凭借出色的外貌条件和嗓音，成为学校里的明星人物。更难得的是，她的专业素养非常好，学习勤奋又刻苦，平时一节课也不落。无论春夏秋冬，下雨还是下雪，每天早晨她都第一个去琴房练功。无论交给她多难的曲目，她都会尽最大努力完成，且总是不停地在身上寻找和其她人差距。而于文霞平日里的穿着则非常简朴，这样一位老实节俭的姑娘，同学们也都很喜欢她（中国青年网评）。 1米77的个子，一头乌黑的长发，一张典型的东方女性面孔，在世界500强财富巨头与全球政要云集的2013年成都财富全球论坛上，于文霞是那么的年轻和与众不同。如果没去特意交谈，也许很少有人会知道，大家身边的这个美丽女孩就是2012年的世界小姐冠军。她没有高谈阔论，只是美美地坐着，或是优雅地站着，默默地倾听，然后坦诚而朴实地回答你的每一个问题，不时露出甜美的微笑，让人在不知不觉间被她吸引（华西都市报、新民地铁报　　）。,生活 不同于 首位 华人 世界 小姐 冠军 张梓琳 甜美 时尚 大方 位 华人 世界 小姐 冠军 文霞 第一印象 秀美 纯朴 端庄 歌唱家 曲冬梅评 大学 入学 时 出色 外貌 条件 嗓音 学校 里 明星 人物 专业 素养 学习 勤奋 刻苦 平时 一节课 不落 春夏秋冬 下雨 下雪 早晨 第一个 琴房 练功 交给 多难 曲目 努力完成 不停 身上 寻找 差距 而于 文霞 平日 里 穿着 简朴 一位 老实 节俭 姑娘 同学 喜欢 中国 青年网 评 米 77 个子 一头 乌黑 长发 一张 典型 东方女性 面孔 世界 500 强 财富 巨头 全球 政要 云集 2013 年 成都 财富 全球 论坛 文霞 年轻 与众不同 特意 交谈 也许 有人 身边 美丽 女孩 2012 年 世界 小姐 冠军 高谈阔论 美美 坐 优雅 地站 倾听 坦诚 朴实 回答 露出 甜美 微笑 间 吸引 华西都市报 新民 地铁 报
542,张越涵,Serena,,中国,汉族,水瓶座,O,,,北京,1990年01月01日,演员,中国戏曲学院,,"探秘者
生死黎平",,张越涵汉服图集 90后的张越涵毕业于中国戏曲学院，被网友追捧为中国戏曲学院清纯校花。虽是新人，但却是一身名媛范，琴棋书画文舞双全，长相清纯甜美还气质独特，有一种张艺谋偏好的谋女郎共通的东方美特色。（网易评） 张越涵拍摄的汉服写真，身着改良版汉服，融合汉服的庄重、优雅、动人，身上的古典气质让人眼前一亮。中国传统文化在她身上表现的淋漓尽致。（网易、中国青年网评）,张越涵 汉服 图集 90 张 越涵 毕业 中国戏曲学院 网友 追捧 中国戏曲学院 清纯 校花 新人 却是 一身 名媛 范 琴棋书画 文舞 双全 长相 清纯 甜美 气质 独特 一种 张艺谋 偏好 谋女郎 共通 东方 美 特色 网易 评 张越涵 拍摄 汉服 写真 身着 改良版 汉服 融合 汉服 庄重 优雅 动人 身上 古典 气质 眼前一亮 中国 传统 文化 身上 表现 淋漓尽致 网易 中国 青年网 评
543,连诗雅,ShigaLin,Shiga,日本,,巨蟹座,,172cm,,香港,1988年06月29日,歌手 演员 模特,英皇佐治五世学校,,《到此为止》《i'mstilllovingyou》,"入围31届香港金像奖最佳新演员
2010年SinaMusic我最喜爱女新人
第35/36/37届十大中文金曲颁奖礼“十大金曲奖”",连诗雅个子高高，眉宇间带点英气（东莞时报评），被誉为香港乐坛玉女新歌手。连诗雅2011年主演电影《喜爱夜蒲》备受瞩目，角色饰演得十分到位。（深圳晚报评）,连诗雅 个子 高高 眉宇 间 带点 英气 东莞 时报 评 被誉为 香港 乐坛 玉女 新 歌手 连诗雅 2011 年 主演 电影 喜爱 夜蒲 备受瞩目 角色 饰演 到位 深圳晚报 评
550,王非,,,中国,汉族,,,,,北京,1963年01月01日,,,,,,王非在打球时是个好运动员，他是中国男篮在西班牙世锦赛获得第九名、首次实现历史性突破的主力队员之一；王非退役后是个好教练，他带领八一火箭队创造了中国篮球史上的又一个壮举，连续六个赛季攻下CBA总冠军。 然而，当王非在世界篮球殿堂NBA经过半年学习进修之后，他对篮球的理解到实战的指挥，都发生了潜移默化的改变。他运用“轮转防守”等一些来自NBA的先进知识，使得八一队在最困难的时候，仍然能够最终夺取CBA总冠军。不过，王非也有些变化很难令人理解。比如在如何合理使用姚明和巴特尔，又比如在临场换人方面，都有不少值得商榷的地方。,王非 打球 时 运动员 中国男篮 西班牙 世锦赛 第九名 首次 历史性 突破 主力 队员 王非 退役 教练 带领 八一 火箭队 创造 中国篮球 史上 壮举 连续 六个 赛季 攻下 CBA 总冠军 当王 非 世界 篮球 殿堂 NBA 半年 学习 进修 篮球 理解 实战 指挥 发生 潜移默化 改变 轮转 防守 NBA 先进 知识 八一队 困难 最终 夺取 CBA 总冠军 王非 变化 很难 令人 理解 姚明 巴特尔 临场 换人 值得 商榷 地方
552,白燕升,,,中国,汉族,双子座,,,,河北省沧州市黄骅市,1968年05月23日,主持人,河北大学,,"九州戏苑
过把瘾
戏苑百家",2001年获得中国广播电视“金话筒奖”,出演《神探亨特张》 他多才多艺，京剧、河北梆子、越剧、黄梅戏、豫剧等剧种，都能演唱。（腾讯娱乐评）白燕升是一个超级戏迷，一位真正的内行，一位够资格的剧评家。（余秋雨评）他的性格里有英雄般的骨气，又有赤子般的真情。他不谄上，不阿贵，敢于坚持真理，嫉恶如仇，是一条痛快淋漓的汉子。（莫言评）,出演 神探 亨特 张 多才多艺 京剧 河北梆子 越剧 黄梅戏 豫剧 剧种 演唱 腾讯 娱乐 评 白燕升 超级 戏迷 一位 内行 一位 够 资格 剧评 家 余秋雨 评 性格 里 英雄 骨气 赤子 真情 谄 不阿贵 坚持真理 嫉恶如仇 一条 痛快淋漓 汉子 莫言 评
553,刘建宏,,,中国,汉族,,,,,河北石家庄,1968年09月01日,主持人,中国人民大学,,"《足球之夜》《你好
世界杯》",2003年金话筒奖,刘建宏 无论是刘建宏的赞美者还是诋毁者，不难看出刘建宏对中国足球充满感情。（新浪网评） 刘建宏这么多年来一直是非常细致的准备，而且积累欧洲和世界足球相关的资料。建宏在前方解说虽然稍显得比较平淡一些，但是会发现建宏在以往那种平淡的印象当中，实际上已经开始有了很多激情。（韩乔生评） 刘建宏的足球解说有着鲜明的个人特点。虽然作为一个足球评论员是不便表示自己的立场的，但作为国米球迷的刘建宏每次解说时，很多球迷都可以感受到他对于国米的热爱。他本人也是许多国米球迷最爱的解说员。（人民网评）,刘建宏 无论是 刘建宏 赞美 诋毁 不难看出 刘建宏 中国 足球 充满 感情 新浪网 评 刘建宏 多年 细致 积累 欧洲 世界足球 相关 资料 建宏 前方 解说 稍 显得 平淡 发现 建宏 以往 那种 平淡 印象 实际上 激情 韩乔生 评 刘建宏 足球 解说 鲜明 足球 评论员 不便 立场 国米 球迷 刘建宏 每次 解说 时 球迷 感受 国米 热爱 国米 球迷 最爱 解说员 人民网 评
554,周晓丽,,,,,,,,,浙江义乌,1979年01月01日,智障儿童康复中心负责人,,,,,周晓丽，“富人之仁”的典范人物，从一个为胞弟求医四处奔走的女孩子到拥有数百名脑瘫孩子的“妈妈”。她没有继承父业，没有在义乌这个商贸城市里经商办厂。相反，她把家里厂房改造为育智活动场所，挑起了承载大义的公益事业。人生的选择有很多种，但是周晓丽选择了常人最不易选择和坚持的一条道路。正如“浙江骄傲”给周晓丽的颁奖词所赞：只因懂得，所以有取有舍；只因情重，所以无怨无悔。幼吾幼以及人之幼。轻言少语的她，正为我们讲述着几千年中华文明的古道热肠。（中国文明网评）,周晓丽 富人 之仁 典范 人物 胞弟 求医 四处奔走 女孩子 拥有 数百名 脑瘫 孩子 妈妈 继承 父业 义乌 商贸 城市 里 经商 办厂 家里 厂房 改造 为育智 活动场所 挑起 承载 大义 公益事业 人生 选择 多种 周晓丽 选择 常人 不易 选择 一条 道路 浙江 骄傲 周晓丽 颁奖词 所赞 懂得 有取 有舍 只因 情重 无怨无悔 幼吾幼以及人之幼 轻言 少语 正为 讲述 几千年 中华文明 古道热肠 中国 文明 网评
