,script
1932,吃饭吃饭了，虽然疫情还没结束、但各位朋友饭还是要好好吃哦！加油💪加油💪！#抗疫 #美食 @抖音小助手
1933,各位小可爱，口罩还有好好戴吗？出门一定要戴好口罩，继续做防疫小可爱哦#临朐县妇幼保健院 #抗疫
1934,各国攀岩运动员宅家运动，尽显#攀岩技能✊#保持健康 #抗疫 #东京2020
1935,合作了一年的荷兰友人，从总部发来“中国加油”视频，让我们感受到了全球一家人！#抗疫 @抖音小助手
1936,合拍#曲剧#医圣传奇#欢迎家人们一起合拍#张仲景~芩儿对唱#片段2#抗疫#爱情#祝福开心🌹🌹🌹
1937,合拍#曲剧#医圣传奇#欢迎家人们一起合拍#张仲景~芩儿对唱#片段3#抗疫#爱情#祝福开心🌹🌹🌹
1938,合拍#曲剧#医圣传奇#欢迎家人们一起合拍#张仲景～芩儿对唱#抗疫#爱情#片段#祝福开心🌹🌹🌹
1939,同#抗疫，迎凯旋，护家园，共长安！#致敬 英雄，#守望 长安……#陕西 @西咸新区 点亮地标建筑#致敬英雄
1940,同一张考卷，折射不同价值观，西方利益至上 #疫情 #抗疫 #郭继承
1941,同学们，第一波福利来啦！党员教师变身快递员，打包邮寄一条龙！在家坐等教材包吧#抗疫 #校园 #抖音小助手
1942,同心抗疫！今天，首批7名先遣队员赴#香港协助#抗疫
1943,同心携手 共渡难关#抗疫 #非洲
1944,同样是宅在家，蜗居和舒居到底有什么不一样#抗疫 #宅着dou干嘛 #荣盛华府装修设计
1945,同胞手足，守望相助！#抗疫 @抖音校园
1946,同舟共济，齐心协力#抗疫#抖音小助手 #
1947,同风雨，共#抗疫！北师大工会“三八”女教职工网络才艺展示来啦！这段手势舞太棒了👍🏾@抖音小助手 #手势舞
1948,后疫情时代6：病毒打不败，生活得继续。瑞典人#抗疫 的浪漫方式。#抖音小助手 #群体免疫 #瑞典旅游 #疫情
1949,向#钟南山 老先生的，一颗中国心致敬。为#抗疫 力量加油@抖音小助手
1950,向67位驰援湖北的顺德医护人员 致以崇高的敬意#顺德 #抗疫 #党代会
1951,向“人民英雄”国家荣誉称号获得者张定宇致敬！ #致敬英雄  #国家荣誉   #抗疫
1952,向一年来坚守在抗疫一线的人民警察、医护人员、工作人员致敬！愿身体康健，心想事成！#抗疫@抖音小助手
1953,向一线医务人员抗疫巾帼英雄致敬！#医生 #抗疫#支援武汉 @抖音小助手
1954,向广西援鄂抗疫桂军致敬！国有召，桂必战，战必胜！#广西 #抗疫 #白衣天使 #正能量 @抖音小助手
1955,向战斗在抗疫一线的幕后英雄致敬！#核酸检测 #抗疫
1956,向所有一线人员致敬#救灾 #抗疫#边防 @DOU+小助手
1957,向所有抗战疫情的英雄致敬！健康和自由才是最大的财富！非常时期就好好呆在家里发库存。#抗疫#健康
1958,向所有驰援湖北的抗疫逆行者致敬！@艺羊观察 @抖音小助手 #抗疫 #抗疫英雄 #武汉 #黄冈
1959,向抗疫和平时辛苦的医护工作者致敬！#抗疫 #疫情 #抗击疫情 #全球抗疫情
1960,向抗疫英雄们致敬！#抗疫 #cba复赛
1961,向抗疫英雄致敬！#抗疫 #抗击疫情 #新冠肺炎 @央视新闻 @人民日报
1962,向抗疫英雄致敬！今天，成都市抗击新冠肺炎疫情和防汛救灾表彰大会召开，大邑这些个人和集体受到表彰#抗疫 #大邑县
1963,向抗疫英雄致敬！视频来源：广西新闻频道#抗疫 #英雄 #广西
1964,向洛阳的抗疫英雄致敬！❤️ #洛阳 #抗疫  #正能量
1965,向疫情前线的医护人员们致敬！#抗疫 @抖音校园
1966,向英勇牺牲的医护人员和不幸去世的患者深切哀悼 #抗疫
1967,向英雄致敬！热烈欢迎平江抗疫英雄胜利凯旋！@今日平江 #平江平江大平江 #抗疫
1968,向英雄致敬，愿祖国没有灾难，愿逝者安息、生者自强；愿山河无恙、人间皆安；今日清明，全国哀悼#抗疫@抖音小助手
1969,向龙桂美、方婷英两位被表彰的峨山抗疫英雄致敬！#抗疫 #致敬英雄
1970,含酒精的消毒用品可以携带上飞机吗？✈️#抗疫 #涨知识
1971,听。#肖战 #我想对你说 #抗疫 #全民战疫 #抗击肺炎 #抗击疫情
1972,听了特朗普的建议， #美国2男子喝 #消毒剂 #抗疫被送医
1973,听到这首歌，你首先会想到什么#抗疫还是#林俊杰
1974,听宝贝们演讲抗疫故事，感动又激情昂扬，你们是祖国的未来，你们是希望，明天更原声版#抗疫 #演讲
1975,听歌、赏舞、吃美食？#绥宁四月八姑娘节 还有哪些奇妙体验？跟最美#抗疫#护士 田芳芳一起去看看吧！
1976,听着搜不到的歌，看着得不到的人，望着去不了的地方和想着不能做的事，有同感的吗？此时此刻，隔离第十三天。#抗疫
1977,听说这个舞蹈称为抗疫战士之舞，今天难得下了个早班必须跳一个涩！#抗疫 #菲律宾 @抖音小助手
1978,周杰捐赠两万斤大米献爱心，这样的“尔康”大家还喜欢吗？ #抗疫  #要上热门
1979,周澎专辑《让爱暖人间》首发式新闻发布会，签名赠光盘！#周澎 #商洛 #热门 #西安 #陕西 #北京 #抗疫
1980,呼叫各位神兽，明天又要返校了，我已准备妥帖等你归笼。没有学生的舞台是孤独的，我想你了!收到回复!#抗疫#师生情
1981,呼吁所有新发地密接者和京返人员自主像政府报备！争取早日抗疫成功！谢谢大家#新发地 #隔离 #抗疫
1982,和 @下定决心忘记你 一起 #合拍 上半年#抗疫，下半年#抗洪2020年真不意#祈祷平安#d0u十抖音小助手
1983,和 @芒歌 一起 #合拍#致敬国宝钟老辛苦了 #抗疫 #钟南山院士 #dou热门 #@DOU+小助手
1984,咦，这是麻呀，来试试，哎哎哎上头上头上头喂😂😂😂#致敬一线工作人员 #孟定#疫情全知道 #抗疫
1985,咱也是走在村级抗疫前线的人，虽然没有进京领奖，但是我也要自我表扬一下。#抗疫￼￼￼
1986,咱们好心帮助别人，他缓过劲来了会不会反口咬你一口？不同意援美的请点赞转发#美国 #抗疫 #爱国 @抖音小助手
1987,咱们接受共度时艰的同胞，对想充大爷的，不能惯着，#抗疫 #意大利回国留学生为喝矿泉水意图冲闯隔离区
1988,咱家老板在！#抗疫 #上班 #抖音小助手 #抖加小助手
1989,咸阳40余抗疫医护被裁事件涉事院长被免职#抗疫 #医护人员
1990,哈哈哈，武汉酒吧直播，新疆人开始在直播间刷屏，都羡慕了吧。顺便问句，什么时候解封#抗疫 #录屏
1991,响应学校号召宅家抗疫的女孩，提出的坚持打卡赶走病毒的倡议得到越来越多的小伙伴的响应。#宅家#曳步舞#抗疫
1992,响水人可以接种新冠疫苗了！我骄傲我是中国人！#疫苗 #疫情 #抗疫 @抖音小助手 #响水 #动静响水
1993,哪有什么岁月安好？不过是有人在为你负重前行！向所有英雄们致敬！#烈士#抗疫@抖音小助手@白衣天使
1994,哪有什么岁月静好，不过是有人替你负重前行！这一幕太让人心疼了…#抗疫 #中国 #感动 @抖音小助手
1995,哪有什么岁月静好，只不过是有人替你负重前行！#抗疫 #白衣天使
1996,哪有什么岁月静好，只不过有人负重前行。致敬白衣天使～#抗疫 #白衣天使加油
1997,哪有什么岁月静好，只是有人替我们负重前行 #最美逆行者  #抗疫
1998,哪有什么岁月静好？！#抗疫 #北京加油 #中国加油
1999,哪有什么盖世英雄，只有的是无私奉献 #电视剧在一起  #在一起  #抗疫  #外卖小哥
2000,哪里有灾难，哪里就有人民子弟兵！ 他们也只是普通人，只不过换了一身衣服而已！ #抗疫  @抖音小助手
2001,唉整天居家看手机眼睛好累… 法国疫情快点好起来吧。好羡慕宝宝们🌍 @抖音小助手 #你看我美么 #婀娜#抗疫
2002,唉，加个班还浪费了一个口罩！#抗疫#复工 #搞笑@抖音小助手
2003,唯愿春暖花开，国泰民安，山河无恙国富兵强，你我皆能不辱使命，#此生无悔入华夏 #来世还做中国人 #抗疫 #兵
2004,唱唱那些“个别同胞”#抗疫
2005,商务部、海关总署、国家药监局联合发文！#中国 #抗疫 物资出口收紧！没有中国注册不能再#出口
2006,啥也不说了，为白衣天使点赞！为抗疫英雄点赞！英雄在天有灵！#白衣天使加油 #钟南山 #抗疫 #抖音小助手
2007,喊了一年的加油，这次要给自己加把油！一起为石家庄加油！#石家庄加油 #抗疫
2008,喊她们要离我一丈远，大家都没违规#抗疫
2009,喝#茶 的正确#心态 ：静听茶低语。（特殊日子，以#静 寄哀思-#抗疫）@抖音小助手 @DOU+小助手
2010,喝牛尿、泡牛粪，打屁股！印度🇮🇳凶残抗疫法！#抗疫 #印度 @抖音小助手
2011,嘉兴首批战疫英雄回嘉，志愿者们夹道欢迎#抗疫#抗疫一线 #志愿者#嘉兴
2012,四个月前的那场战疫你们还记得吗？#抗疫 #湖北 #武汉加油 #鄂州
2013,四十天以来第一次以居民的身份下楼，不在其位不谋其职，感觉无事一身轻！完全不一样的心情！ #抗疫 #志愿者
2014,四川加油，郫县雄起！#2020不平凡的一年 #四川 #抗疫 #加油 #雄起#德阳 #共同助力疫情防控
2015,四川省火锅协会：等英雄凯旋 ，火锅免费吃一年（新华网）#火锅 #抗疫
2016,四川首次公布县（市、区）疫情分区分级，眉山4地低风险，2地中风险。#战疫chuan行动 #抗疫
2017,四年才能过一次的#生日，这位#抗疫#护士 收到特殊#礼物。#支援武汉 #上海战疫 #致敬白衣天使 #感动
2018,回“疫”瞬间_衢州85后女护士撕下胶布这一刻，至今令人心碎……#浙江#抗疫 #表彰 @抖音小助手
2019,回击#美国 政客病毒阴谋论，#人民日报 发表评论：任何人同科学作对都不会有好下场#疫情全知道#抗疫@抖音小助手
2020,回家路上被召回，驰援核酸检测，抗击疫情，我在岗！#抗击疫情 #抗疫 #抗击疫情我在岗 #核酸检测 #加油
2021,回家！❤️广东医疗队撤回首批队员#援鄂医疗队 #援鄂 #广东 #抗疫
2022,回家！回家！一个都不少，看看她们的笑脸，茂名味道等着你们。#茂名 #高州 #信宜 #化州 #电白 #护士#抗疫
2023,回归正常生活🤗🤗🤗#抗疫 #护士懂护士
2024,因为口罩，各出奇招！#抗疫 #各国 #最强招数
2025,因为抗疫，现在才吃午饭，饿瞎了！#食物 #饿货 #抗疫 #抗击疫情 @抖音小助手
2026,因为有你 单人版 配乐诗歌朗诵#朗诵#朗读#演讲#抗疫#爱国#素材tv#led背景视频素材@DOU+小助手
2027,因为有你 多人版 抗疫诗歌朗诵配乐视频#素材tv#朗诵#抗疫@DOU+小助手
2028,因为疫情，他们坚守在一线，过年没法回家，抗“疫”路上感恩有您#抗疫 #抖音小助手
2029,因为这个举动，西班牙议会的一名清洁工意外走红！#正能量 #抗疫 #西班牙 @抖音小助手
2030,因抗疫表现突出，武汉市金银潭医院院长张定宇拟任湖北省卫健委副主任。#张定宇拟任湖北卫健委副主任 #抗疫
2031,因抗疫表现突出，湖北拟提拔重用#张定宇 等4名干部！#抗疫 #疫情全知道
2032,因疫情广东出口日本的青梅订单断崖式下跌，酒厂响应国家助农计划增收青梅30万斤！#抗疫 #助农 #中国加油
2033,因疫情表现突出，湖北拟提拔重用#王胜弘 等4名干部！#抗疫
2034,因谭德塞肯定中国的抗疫，美议员要其解释与中国关系！#世卫组织 #抗疫 #中国 @抖音小助手
2035,囧途变奇遇，一个小伙子在武汉的日子。要是你的话会怎么做？#故事 #抗疫
2036,困在威尔士的表妹昨天拿到了大使馆派发的抗疫物资包，即使在这么偏远的小城，祖国仍然如此给力！感恩祖国！#抗疫
2037,国之栋梁！#钟南山 #张伯礼 #张定宇 #陈薇 他们被推为“共和国勋章”和国家荣誉称号建议人选 #抗疫
2038,国内网上热传的抗疫海报，竟被大学生盗用参赛还获了奖 #盗图 #抗疫 #河北@抖音小助手
2039,国内首部战疫记录电影《武汉日夜》，.22电影院见#武汉#抗疫#抗疫电影
2040,国务院： #再贷款+ #贴息 确保 #抗疫重点企业贷款 #利率低于.6%
2041,国医大师刘尚义远程辨症论治开方，治疗新冠肺炎重症患者！#国医大师 #中医#抗疫
2042,国士无双！抗疫功臣钟南山步入人民大会堂，接受表彰！@DOU+小助手 #钟南山 #抗疫 #抗疫表彰
2043,国士无双！抗疫国家功臣陈薇步入人民大会堂，接受表彰！ #抗疫 #抗疫表彰 #陈薇
2044,国士无双！，抗疫功臣、“渐冻人”张定宇步入人民大会堂，接受表彰！ #抗疫表彰 #抗疫 #张定宇
2045,国士无双，岂能诋毁？#黄秋生#抗疫#致敬钟南山
2046,国外“天价”口罩被坑了，要报那个国家的警！#我的观影报告 #一定要看到最后 #在一起 #感人 #抗疫
2047,国外基本是放弃抵抗靠群体免疫了，我担心的是，如果不援助他们会危及我们的安全，我们救不救#抗疫 #美国
2048,国外太可怕了，看到的请点赞吧，啥也不说了#抖音小助手 ##抖音热门 #抗疫
2049,国外疫情最新情况，我们虽然国内大部分复工了，但是危机仍然在，支持的请点赞转发#国外 #抗疫#复工 @抖音小助手
2050,国家中医医疗救治专家组组长，中国科学院院士，中医内科专家仝小林在武汉期间临床辨症论治。#中医 #抗疫
2051,国家中医药管理局权威发布，中医药参与救治新冠肺炎力度是建国以来前所未有！#中医 #抗疫
2052,国家医疗队的队员们拿着纪念机票一起合影，这张机票，是他们这趟不平凡的旅程的见证！#抗疫 #喜欢听头条
2053,国家卫健委援疆人员全部撤离，辛苦你们了，点赞！#抗疫
2054,国家卫健委最新通知：发热门诊就诊患者必须进行核酸检测。#抗疫 #战胜疫情dou行动 #发热  @抖音小助手
2055,国家卫健委：2日新增确诊病例49例，其中本土病例5例。#抗疫
2056,国家广电总局组织拍摄#抗疫电视剧，编剧六六将赴武汉
2057,国家用十天时间建成了雷神山、火神山抗疫，窗霸用了3天调整战略方向，积极面对一切困难，坚持不放弃#热门#抗疫
2058,国家移民管理局：在华外国人如拒绝检疫措施，将承担法律责任！违反法律法规者可遣送或驱逐出境！#外国人#抗疫
2059,国家级荣誉榜单揭晓！快来为南充的英雄点赞#南充 #抗疫
2060,国家表彰！致敬首都公安抗疫英雄 #表彰大会 #抗疫 #致敬英雄
2061,国家说让洗手，又没说让洗脸，我要做守法公民😂#抗疫@抖音小助手
2062,国家需要，格力就造！#抗疫 @抖音小助手
2063,国庆佳节，千万不能放松警惕！#国庆 #抗疫 #在一起#精彩剧情
2064,国旗小姐姐上电视了👏👏👏@薛🐱🐱  （红旗小姐姐@爱的华尔兹） #抗疫 #中国加油
2065,国旗小姐姐，现场指导儋州舞……#抗疫 #中国加油
2066,国际庄00w人的城市按下了暂停键，我们不会放弃爱和希望，等待一个大解放#石家庄疫情#河北@抖音小助手#抗疫
2067,国际民调：中国抗疫对策满意度最高 #抗疫  #国际
2068,在#抗疫  的那段日子里，我的#老公 参加了自愿者！在我和女儿心中，他也是个英雄！#武汉 值得我们骄傲
2069,在#抗疫 一线，留下“逆行”先锋的身影，离开时彰显了#军人的风采 。#励志
2070,在#美国 民众对其#抗疫 评价大幅下滑之时，#特朗普 的总体#支持率 反而上升了
2071,在一起 亲子抗疫诗歌朗诵配乐LED背景视频#素材tv #抗疫 #少儿朗诵 #朗读
2072,在利比亚，一群年轻人组成“抗疫青年团”，为民众提供帮助。 #利比亚 #疫情 #抗疫 #志愿者
2073,在国外抗体核酸做超多次都没有问题，但是回国了总会有几个华人查出来阳性，这是为什么呢？#抗疫
2074,在国外求学的儿子想回国，好孩子咱做好防护别为国家添乱。娘也想你，你睡衣的纽扣很完整，@也要再缝上几针#抗疫#情
2075,在地铁里碰到不戴口罩的怎么办，你可能从来没见过这种#神操作 。#搞笑 #地铁 #疫情 #抗疫 #美国 #神奇
2076,在外公眼里，45岁的二姨还是一个孩子 #抗疫 @抖音小助手
2077,在外工作学习打拼的兰考老乡们，有没有提前回家过年的打算？祝一切平安！#兰考 #触摸兰考 #抗疫 #中国加油
2078,在大连市中心医院所有医生和护士的努力下，我父亲已经脱离生命危险，感谢感恩所有人的帮助和祝福！#医生 #抗疫
2079,在家GL第五天！沙发，床，睡衣！就是这金毛狮王般的头发无处安放！#抗疫 #乌鲁木齐疫情
2080,在家呆了好多天，我可不可以····#抗疫@抖音小助手
2081,在家抗疫！几个轮胎，一把烧水壶，再找个适量的小孩，开撸😄⛽️#抗疫#撸铁#健身
2082,在家里憋久了，骑车出来透透气，路过的兄弟姐妹别骂我，我已带口罩😷#抗疫 #机车
2083,在很久以后，晚风吹拂英雄鬓角的白发，回想2020年的春天，其实没有伤痛，只有感动！#凉山英雄 #抗疫
2084,在我家取景拍摄的#在一起 火神山上映了，很荣幸参与#抗疫 记录 #致敬逆行者 #为中国点赞 #陆毅 #陈数
2085,在抗“疫”中成长，光明小学 #抗疫主题党日活动回顾@抖音小助手
2086,在抗疫中倒下的这位滨海人，入选“江苏好人榜”#滨海 #滨海医生 #江苏 #好人 #抗疫 #医生 #滨海人
2087,在武汉大学人民医院东院重症病房坚守56天，重庆市中医院第二批支援湖北医疗队圆满完成任务！#抗疫
2088,在玫琳凯，最重要的就是人和爱❤️#抗疫
2089,在琼美国医生沈义扬向世界分享海南抗疫经验#抗疫 #海南
2090,在疫情日渐严重的法国，BFM电视台在介绍中国防疫经验。#抗疫 #抗疫一线 #法国 #巴黎#新冠肺炎
2091,在疫情防控工作中，许多一线人员连续作战，身体透支。近日，多地发出强制休息令，要求他们立即停止工作强制休息#抗疫
2092,在疫情面前 司机师傅们用车轮书写了一个又一个感人故事 @邓伦 真情献声首部中国司机抗疫纪录片《下个路口见#抗疫
2093,在看到别的国家在新冠前的束手无策，我们更应该为我们的祖国自豪。#新冠肺炎 #抗疫 #钟南山
2094,在碧海蓝天的见证下，百对抗疫英雄新人交换爱情信物，许下今生最宝贵的誓言。#婚礼现场 #抗疫 @抖音小助手
2095,在老特的带领下，都疯了！ #比尔盖茨  #抗疫  #美国疫情
2096,在薄情的世界深情地活着_静待岁月开出最美的花朵#爱生活 #爱唱歌 #抗疫
2097,在这个特殊的日子，希望给#抗疫 的你带来一点欢乐@DOU+小助手
2098,在高温的“烤”验下坚守岗位，用奉献和汗水，诠释着“逆行者”的精神，致敬！ #新疆 #加油 #抗疫 #为你点赞
2099,地域相连 命运相牵 月8日上午 镇康60名医疗队员集结出征 奔赴耿马孟定抗疫一线#抖音小助手 #抗疫
2100,地州到乌鲁木齐乘飞机，火车需要什么手续？@新疆名医团  #抗疫 #新疆 #乌鲁木齐疫情 #乌鲁木齐
2101,坚决遏制疫情扩散蔓延 有序开展核酸检测#新疆 #疫情防控 #核酸检测 #众志成城共抗疫情 #抗疫 @抖音小助手
2102,坚定信心，同舟共济，我们必胜。乌鲁木齐加油～喀什加油～新疆加油！#抗疫 #新疆加油 @抖音小助手
2103,坚持在家练习网球基础训练课程，回到球场必有进步！（第一期，第二节）#体育#抗疫#运动#网球#网球教学
2104,坚毅的眼神，#抗疫 必胜！#中国人的骄傲 #致敬 #天使 #最美逆行者 #伟大 #上热门
2105,坪山钧窑《有凤来仪》祝禹州抗疫英雄苗培娟新婚快乐！#禹州 #抖音小助手 #抗疫 #抖音小助手 @抖音小助手
2106,埃塞俄比亚疫情防控形式严峻，中国医疗队面临严峻挑战#非洲 #抗疫
2107,城南商会致敬英雄平安回家！👍👍👍#抗疫
2108,城市英雄，她们是最美丽的人，是最尊敬的人！盼天使👼早日归来！为你们点赞👍💖🌹#抗疫 #天使 #英雄
2109,城里没工作吃饭都是问题，农村又光下雨，庄稼都遭殃🤔祈祷2020世界平安，中国平安，恩施平安!#抗疫 #抗洪
2110,基里巴斯感谢中国无私援助，目前唯一抵达的外国援助抗疫物资。 #抗疫  #基里巴斯
2111,塔台的这段对话太暖了！加油，一切都会好起来的#抗疫@抖音小助手
2112,塘沽繁华的金街，如今冷冷清清，加油我的大滨海一定能恢复昔日的繁华#塘沽#抗疫
2113,塞尔维亚4月4日最新疫情播报#塞铁#欧洲疫情#欧铁@抖音小助手#新冠 肺炎#塞尔维亚#疫情#抗疫
2114,塞尔维亚4月5日最新疫情播报#塞铁##欧洲疫情#欧铁@抖音小助手#新冠肺炎#塞尔维亚#疫情#抗疫
2115,塞尔维亚为中国专家组找来川菜厨师#疫情全知道 #抗疫
2116,塞尔维亚向3名中国抗疫专家授勋#塞尔维亚 #中国 #抗疫
2117,塞尔维亚响起中国特有警笛声，外国人感叹：疫情后世界变了！ #我爱你中国  #抗疫
2118,塞尔维亚女专家脱高跟鞋与中国援塞专家合影#厉害了我的国 #塞尔维亚 #抗疫
2119,塞尔维亚宵禁第一天从20点开始改为7点-5点，还都算听话，明早去补粮😔#塞尔维亚 #抗疫 #塞尔维亚疫情
2120,士兵回家#内蒙古 #抗疫
2121,处分！河南3名村干部私分群众捐赠6箱方便面，没想到……#许昌#抗疫@抖音小助手
2122,复工复产柘荣在行动#复工复产#柘荣#抗疫#长寿之乡 #乡村振兴
2123,夏天还会远嘛 #抗疫  #中国🇨🇳加油  @抖音小助手
2124,外交部副部长乐玉成：面对百年大灾疫，人们最需要N95口罩而不是F-35战斗机#美国#抗疫
2125,外交部回应美卫生部长抹黑中国抗疫：如果世界各国要比抗疫谁最差，恐怕非阿扎部长莫属#美国 #抗疫
2126,外交部：#中国 再向世卫捐款3千万美元用于#抗疫 。#新冠肺炎 #全球疫情
2127,外交部：中方决定向世卫组织追加3000万美元捐款用于#抗疫！此次追加的捐款与中方缴纳世卫组织会费“是两码事”！
2128,外交部：在韩日抗击疫情的努力中，中国不会缺席！#中日韩 #抗疫
2129,外交部：美国政府破坏国际抗疫合作#美国 #抗疫
2130,外公终于回家了#武汉加油 感恩白衣天使们拼死守护我的外公，老党员一直很坚强👍#抗疫 #出院 #dou上热门
2131,外公说：国家发的东西怎么能丢呢？#武汉加油 #抗疫 84岁外公终于回家啦！#dou上热门
2132,外卖小哥哥除夕夜给医院送年夜饭，最后... #在一起 #抗疫#创作灵感 #宅家dou剧场 @抖音小助手
2133,外国疫情饭店关门，小吃货舍不得中餐太可爱#抗疫 #全球抗疫情   @抖音小助手
2134,外国硬核#居家隔离！扔垃圾的小哥表示很慌！#抗疫
2135,外国网友热议中国给上百个国家援助物资和专家#抗疫 #中国医疗队 @抖音小助手
2136,外地驰援的000医务人员已抵达石家庄！石家庄加油！ #防控疫情我们在一起  #致敬  #抗疫  @抖音小助手
2137,多国纷纷取消华人入境限制，认可中方抗疫成效，俄：全球仅此一国#抗疫@DOU+小助手
2138,多地开学时间最新消息！赶紧看看你所在地方开学了吗？#开学 #抗疫 @抖音小助手
2139,夜已深，我们也结束了今天的战斗😷。感谢西安路社区，让我们喝上了暖暖的热水♨️和热乎乎的饭菜#医护人员 #抗疫
2140,夜深了，天凉了，心却是热的。一场政府组织，全民参与的抗疫战斗已经延伸到午夜，一切只为_不抛弃不放弃#抗疫
2141,夜深人不静💪#支援绥芬河#医疗队 #抗疫    无悔
2142,够直接，够霸气，怼回去！ #抗疫  #新冠肺炎
2143,大中华之美德，来而不往非礼也，谁好谁坏，我们分的清，这样有毛病吗？#中国加油 #抗疫
2144,大同市灵丘县公安局辅警李彦保与妻子共同奋战在抗疫第一线，女儿致父亲的一封信#抗疫
2145,大同志愿者们等候多时，迎接逆行战“役”英雄凯旋！#共迎大同新生活 #山西大同 #英雄凯旋 #抗疫
2146,大哥，你要火🔥呀#乌鲁木齐抗疫 #抗疫
2147,大国邻居，俄兄可要加油呀！#你横就能撑到底 #俄罗斯 #全球抗疫 #抗疫
2148,大家一起加油！辛苦了，大白们❤#抗疫 #金州 #致敬疫情前线最美逆行者 #万科城
2149,大家知道中国为抗疫付出了多少吗？看完你就知道祖国的伟大了！#抗疫 #祖国
2150,大局当前！你们冲在最前面！不知道你们是谁！但知道你们是为了谁！向你们致敬！为你们点赞👍#抗疫 #加油
2151,大工#榜样的力量 ——#抗疫 #学霸 王露@抖音校园 @教育小微
2152,大批海外订单为什么涌入圣光集团？#天道酬勤更酬善#抗疫
2153,大杨集团旗下凯门学生装品牌，在新品发布会的走秀中，致敬一线抗疫的人们。 #抗疫  #企业号小助手
2154,大沈阳疫情当前只想尽自己一份力，因为我爱这片土地#致敬疫情前线最美逆行者 #向一线工作者致敬 #抗疫
2155,大海大进校三部曲——戴口罩、测体温、看出入证。#大连 #高校 #记录校园生活 #抗疫
2156,大清早吓我一跳，都说四川，新疆，河南女孩子不怕老属，原来甘肃女孩子也不怕，你这么敬业，我这工作迟早要丢 #抗疫
2157,大美大连，大美旅顺，大美春风十里#美丽大连#抗疫#疫情防控
2158,大荆镇人大副主席盛华，负责白箬岙隔离点服务工作，指导雁东社区各村联防联控。在抗疫一线连续奋战20多天#抗疫
2159,大连了解下#秒懂百科 #大连 #抗疫 #涨知识
2160,大连人疫情期间，这样式打招呼#热门 #大连 #疫情 #打招呼#抗疫 #疫情全知道
2161,大连发布第3号令，号召全民抗疫参战！非必要不要离连#大连 #疫情全知道 #抗疫 #全民抗疫 #加油
2162,大连小伙误入武汉 却成抗疫英雄  #抗疫
2163,大连小伙误入武汉，在医院做起了保洁员 #邓伦  #在一起  #抗疫
2164,大连市启用“空中之眼”，助力抗疫 #大连  #抗疫 @抖音小助手
2165,大连抗疫人员连续奋战7天中暑滚落台阶#大连 #抗疫 #疫情 @抖音小助手
2166,大连抗疫小姐姐，舞蹈加功夫齐上阵，看到 最后该说不说功夫还得练啊？欠点火候啊！ #抗疫 #新冠病毒 #抖音
2167,大连抗疫志愿者冒着严寒执行消杀任务，向你们致敬！大连加油！ #抗疫  #致敬  #大连
2168,大连摆地摊式核酸检测，走过路过不要错过啦！😂#疫情全知道 #抗疫 #大连 #正能量 #加油 #全民抗疫
2169,大连疫情可能起始于凯洋海鲜公司加工车间！该车间患病率高达6.9%#大连疫情 #抗疫
2170,大连金州金润小区志愿者用积雪写出大连加油，为小区居民加油打气#暖心 #点赞 #抗疫
2171,大连铁警与你们同在！在外出行时，一定做好自身防护，为自己也为大家，团结一致，共度难关！#警察 #抗疫
2172,大连首批援助武汉医疗队顺利降落沈阳，即将返连 #大连  #抗疫
2173,大部分的泰国人都没有出门了🙃 祝大家全家平安! 我们一起加油!❤✌🏻#抗疫 #疫情全知道 #泰国 #加油
2174,大飞机再来一波#儿童玩具 #大飞机 #抗疫
2175,天佑中华，风雨压不垮，苦难中开花！愿疫情早日结束，愿中华繁荣昌盛，生生不息！#热门 #天佑中华#抗疫
2176,天使之翼守护大中华——致敬爱的白衣天使！#抗疫 #白衣天使加油 #新冠肺炎 #抗击疫情 #艺术 #板绘
2177,天使撩空姐，好温馨👏👏👏#抗疫
2178,天北新区雷锋车队奔跑在抗疫路上 @DOU+小助手  #雷锋车  #抗疫
2179,天天锻炼身体好#抗疫  春天来了，相信一切都会慢慢好起来，还所有人一个正常的生活方式💪💪
2180,天津市抗疫音乐会《那不可能》《大江东去》#艺考 #美声 #声入人心 #抗疫
2181,天真的你 幼儿配乐诗歌朗诵#朗诵#朗读#抗疫#素材tv@DOU+小助手
2182,太原市中心医院#抗疫一线医护人员用一曲自创版《飞蛾扑火》为#武汉加油！
2183,太可怕，连网购也不安全，快点赞转发，让更多人知道，别传染了#亚马逊 #抗疫 @抖音小助手
2184,太可爱！抗疫志愿者跳舞提神被发现后秒害羞。#抗疫 #可爱
2185,太好了！4吨医用口罩和援建火神山医院物资，今天上午抵达武汉天河机场！ #抗疫
2186,太好了，爸爸妈妈可以回家了吗？他们好了吗？他高兴得都要跳起来了，我们实在不知道该怎么跟一个八岁的孩子解释#抗疫
2187,太心痛！#武汉 25岁#抗疫 护士做饭遇煤气爆炸，全身52%烧伤。#白衣天使加油
2188,太感动了❤️我喜欢的演员们都在!!! #在一起 #抗疫 #邓伦演大连小伙 #最美逆行
2189,太浪漫了！因#抗疫 延迟婚期，#医生 刚出#隔离 区就被男友求婚！点赞祝福他们👍
2190,太湖人的骄傲！致敬！祝贺！#表彰大会 #抗疫
2191,太燃！武汉200名新生花式方阵表演拼字，致敬抗疫英雄#开学典礼 #抗疫
